converted,customer_segment,age,related_customers,family_size,initial_fee_level,credit_account_id,gender,branch
0,13,22.0,1,0,14.5,0,male,Helsinki
1,11,38.0,1,0,142.5666,1,female,Tampere
1,13,26.0,0,0,15.85,0,female,Helsinki
1,11,35.0,1,0,106.2,1,female,Helsinki
0,13,35.0,0,0,16.1,0,male,Helsinki
0,13,31.566655496073864,0,0,16.9166,0,male,Turku
0,11,54.0,0,0,103.725,1,male,Helsinki
0,13,2.0,3,1,42.15,0,male,Helsinki
1,13,27.0,0,2,22.2666,0,female,Helsinki
1,12,14.0,1,0,60.1416,0,female,Tampere
1,13,4.0,1,1,33.4,1,female,Helsinki
1,11,58.0,0,0,53.1,1,female,Helsinki
0,13,20.0,0,0,16.1,0,male,Helsinki
0,13,39.0,1,5,62.55,0,male,Helsinki
0,13,14.0,0,0,15.7084,0,female,Helsinki
1,12,55.0,0,0,32.0,0,female,Helsinki
0,13,2.0,4,1,58.25,0,male,Turku
1,12,29.386667897838493,0,0,26.0,0,male,Helsinki
0,13,31.0,1,0,36.0,0,female,Helsinki
1,13,19.958636078283448,0,0,14.45,0,female,Tampere
0,12,35.0,0,0,52.0,0,male,Helsinki
1,12,34.0,0,0,26.0,1,male,Helsinki
1,13,15.0,0,0,16.0584,0,female,Turku
1,11,28.0,0,0,71.0,1,male,Helsinki
0,13,8.0,3,1,42.15,0,female,Helsinki
1,13,38.0,1,5,62.775,0,female,Helsinki
0,13,27.95304695611773,0,0,14.45,0,male,Tampere
0,11,19.0,3,2,526.0,1,male,Helsinki
1,13,23.581554709004834,0,0,15.7584,0,female,Turku
0,13,29.514671258164427,0,0,15.7916,0,male,Helsinki
0,11,40.0,0,0,55.4416,0,male,Tampere
1,11,31.382512392450806,1,0,293.0416,1,female,Tampere
1,13,23.583631835108903,0,0,15.5,0,female,Turku
0,12,66.0,0,0,21.0,0,male,Helsinki
0,11,28.0,1,0,164.3416,0,male,Tampere
0,11,42.0,1,0,104.0,0,male,Helsinki
1,13,19.873347520797637,0,0,14.4584,0,male,Tampere
0,13,21.0,0,0,16.1,0,male,Helsinki
0,13,18.0,2,0,36.0,0,female,Helsinki
1,13,14.0,1,0,22.4834,0,female,Tampere
0,13,40.0,1,0,18.95,0,female,Helsinki
0,12,27.0,1,0,42.0,0,female,Helsinki
0,13,27.942262620277063,0,0,15.7916,0,male,Tampere
1,12,3.0,1,2,83.1584,0,female,Tampere
1,13,19.0,0,0,15.7584,0,female,Turku
0,13,29.512192211374582,0,0,16.1,0,male,Helsinki
0,13,27.349335970225482,1,0,31.0,0,male,Turku
1,13,23.583631835108903,0,0,15.5,0,female,Turku
0,13,19.512446616809584,2,0,43.3584,0,male,Tampere
0,13,18.0,1,0,35.6,0,female,Helsinki
0,13,7.0,4,1,79.375,0,male,Helsinki
0,13,21.0,0,0,15.6,0,male,Helsinki
1,11,49.0,1,0,153.4584,1,female,Tampere
1,12,29.0,1,0,52.0,0,female,Helsinki
0,11,65.0,0,1,123.9584,1,male,Tampere
1,11,38.75867356849926,0,0,71.0,1,male,Helsinki
1,12,21.0,0,0,21.0,0,female,Helsinki
0,13,28.5,0,0,14.4584,0,male,Tampere
1,12,5.0,1,2,55.5,0,female,Helsinki
0,13,11.0,5,2,93.8,0,male,Helsinki
0,13,22.0,0,0,14.4584,0,male,Tampere
1,11,38.0,0,0,160.0,1,female,EmptyRow
0,11,45.0,1,0,166.95,1,male,Helsinki
0,13,4.0,3,2,55.8,0,male,Helsinki
0,11,43.69091530624267,0,0,55.4416,0,male,Tampere
1,13,15.038040907640692,1,1,30.4916,0,male,Tampere
1,12,29.0,0,0,21.0,1,female,Helsinki
0,13,19.0,0,0,16.3166,0,male,Helsinki
1,13,17.0,4,2,15.85,0,female,Helsinki
0,13,26.0,2,0,17.325,0,male,Helsinki
0,12,32.0,0,0,21.0,0,male,Helsinki
0,13,16.0,5,2,93.8,0,female,Helsinki
0,12,21.0,0,0,147.0,0,male,Helsinki
0,13,26.0,1,0,28.9084,0,male,Tampere
1,13,32.0,0,0,112.9916,0,male,Helsinki
0,13,25.0,0,0,15.3,1,male,Helsinki
0,13,29.514671258164427,0,0,15.7916,0,male,Helsinki
0,13,29.512192211374582,0,0,16.1,0,male,Helsinki
1,12,0.83,0,2,58.0,0,male,Helsinki
1,13,30.0,0,0,24.95,0,female,Helsinki
0,13,22.0,0,0,18.0,0,male,Helsinki
1,13,29.0,0,0,19.0,0,male,Helsinki
1,13,23.58302895408025,0,0,15.575,0,female,Turku
0,11,28.0,0,0,94.2,0,male,Helsinki
1,12,17.0,0,0,21.0,0,female,Helsinki
1,13,33.0,3,0,31.7,0,female,Helsinki
0,13,16.0,1,3,68.75,0,male,Helsinki
0,13,29.512192211374582,0,0,16.1,0,male,Helsinki
1,11,23.0,3,2,526.0,1,female,Helsinki
0,13,24.0,0,0,16.1,0,male,Helsinki
0,13,29.0,0,0,16.1,0,male,Helsinki
0,13,20.0,0,0,15.7084,0,male,Helsinki
0,11,46.0,1,0,122.35,1,male,Helsinki
0,13,26.0,1,2,41.15,0,male,Helsinki
0,13,59.0,0,0,14.5,0,male,Helsinki
0,13,29.512192211374582,0,0,16.1,0,male,Helsinki
0,11,71.0,0,0,69.3084,1,male,Tampere
1,11,23.0,0,1,126.7166,1,male,Tampere
1,12,34.0,0,1,46.0,0,female,Helsinki
0,12,34.0,1,0,52.0,0,male,Helsinki
0,13,28.0,0,0,15.7916,0,female,Helsinki
0,13,29.514671258164427,0,0,15.7916,0,male,Helsinki
0,11,21.0,0,1,154.575,1,male,Helsinki
0,13,33.0,0,0,17.3084,0,male,Helsinki
0,13,37.0,2,0,15.85,0,male,Helsinki
0,13,28.0,0,0,15.7916,0,male,Helsinki
1,13,21.0,0,0,15.3,0,female,Helsinki
1,13,21.436981426273206,0,0,15.55,0,male,Helsinki
0,13,38.0,0,0,15.7916,0,male,Helsinki
1,13,19.215860535113663,1,0,48.3,0,female,Turku
0,11,47.0,0,0,104.0,1,male,Helsinki
0,13,14.5,1,0,28.9084,0,female,Tampere
0,13,22.0,0,0,16.1,0,male,Helsinki
0,13,20.0,1,0,19.65,0,female,Helsinki
0,13,17.0,0,0,28.9166,0,female,Tampere
0,13,21.0,0,0,15.85,0,male,Helsinki
0,13,70.5,0,0,15.5,0,male,Turku
0,12,29.0,1,0,42.0,0,male,Helsinki
0,11,24.0,0,1,495.0416,1,male,Tampere
0,13,2.0,4,2,62.55,0,female,Helsinki
0,12,21.0,2,0,147.0,0,male,Helsinki
0,13,29.512192211374582,0,0,16.1,0,male,Helsinki
0,12,32.5,1,0,60.1416,0,male,Tampere
1,12,32.5,0,0,26.0,1,female,Helsinki
0,11,54.0,0,1,154.575,1,male,Helsinki
1,13,12.0,1,0,22.4834,0,male,Tampere
0,13,31.5780427129432,0,0,15.5,0,male,Turku
1,13,24.0,0,0,14.2834,0,male,Helsinki
1,13,16.708961900313625,1,1,44.7166,1,female,Tampere
0,13,45.0,0,0,13.95,0,male,Helsinki
0,13,33.0,0,0,15.7916,0,male,Tampere
0,13,20.0,0,0,14.1,0,male,Helsinki
0,13,47.0,1,0,29.0,0,female,Helsinki
1,12,29.0,1,0,52.0,0,female,Helsinki
0,12,25.0,0,0,26.0,0,male,Helsinki
0,12,23.0,0,0,30.0916,0,male,Tampere
1,11,19.0,0,2,52.5666,1,female,Helsinki
0,11,37.0,1,0,106.2,1,male,Helsinki
0,13,16.0,0,0,18.4334,0,male,Helsinki
0,11,24.0,0,0,158.4,1,male,Tampere
0,13,26.704691396978035,0,2,30.4916,0,female,Tampere
1,13,22.0,0,0,15.5,0,female,Helsinki
1,13,24.0,1,0,31.7,0,female,Helsinki
0,13,19.0,0,0,13.5,0,male,Turku
0,12,18.0,0,0,23.0,0,male,Helsinki
0,12,19.0,1,1,73.5,0,male,Helsinki
1,13,27.0,0,0,15.5916,0,male,Helsinki
0,13,9.0,2,2,68.75,0,female,Helsinki
0,12,36.5,0,2,52.0,1,male,Helsinki
0,12,42.0,0,0,26.0,0,male,Helsinki
0,12,51.0,0,0,25.05,0,male,Helsinki
1,11,22.0,1,0,133.2,1,female,Helsinki
0,13,55.5,0,0,16.1,0,male,Helsinki
0,13,40.5,0,2,29.0,0,male,Helsinki
0,13,29.52404887160489,0,0,14.625,0,male,Helsinki
0,11,51.0,0,1,122.7584,0,male,Tampere
1,13,16.0,0,0,15.4666,0,female,Turku
0,13,30.0,0,0,16.1,0,male,Helsinki
0,13,29.502345154573135,0,0,17.325,0,male,Helsinki
0,13,-5.514050893143946,8,2,139.1,0,male,Helsinki
0,13,44.0,0,1,32.2,0,male,Helsinki
1,12,40.0,0,0,31.5,0,female,Helsinki
0,13,26.0,0,0,15.55,0,male,Helsinki
0,13,17.0,0,0,17.325,0,male,Helsinki
0,13,1.0,4,1,79.375,0,male,Helsinki
1,13,9.0,0,2,41.05,0,male,Helsinki
1,11,37.9280826801606,0,1,110.0,1,female,Helsinki
0,13,45.0,1,4,55.8,0,female,Helsinki
0,11,45.2921947108305,0,0,51.85,0,male,Helsinki
0,13,28.0,0,0,112.9916,0,male,Helsinki
0,11,61.0,0,0,67.0,1,male,Helsinki
0,13,4.0,4,1,58.25,0,male,Turku
1,13,1.0,1,1,22.2666,0,female,Helsinki
0,13,21.0,0,0,15.85,0,male,Helsinki
0,11,56.0,0,0,61.3916,1,male,Tampere
0,13,18.0,1,1,15.7084,0,male,Helsinki
0,13,16.31753915242814,3,1,50.9334,0,male,Helsinki
0,11,50.0,0,0,57.425,1,female,Tampere
0,12,30.0,0,0,26.0,0,male,Helsinki
0,13,36.0,0,0,0.0,0,male,Helsinki
0,13,-5.4288298583333585,8,2,139.1,0,female,Helsinki
0,12,35.860933676362606,0,0,30.1,0,male,Tampere
0,13,9.0,4,2,62.775,0,male,Helsinki
1,12,1.0,2,1,78.0,1,male,Helsinki
1,13,4.0,0,2,44.05,0,female,Helsinki
0,11,46.6051914833957,0,0,100.0,1,male,Helsinki
1,13,19.3549250923912,1,0,31.0,0,female,Turku
1,11,45.0,0,0,53.1,0,male,Helsinki
0,13,40.0,1,1,31.0,0,male,Turku
0,13,36.0,0,0,15.7916,0,male,Helsinki
1,12,32.0,0,0,26.0,0,female,Helsinki
0,12,19.0,0,0,26.0,0,male,Helsinki
1,13,19.0,1,0,15.7084,0,female,Helsinki
1,12,3.0,1,1,52.0,1,male,Helsinki
1,11,44.0,0,0,55.4416,1,female,Tampere
1,11,58.0,0,0,293.0416,1,female,Tampere
0,13,31.5780427129432,0,0,15.5,0,male,Turku
0,13,42.0,0,1,16.8084,0,male,Helsinki
1,13,23.583631835108903,0,0,15.5,0,female,Turku
0,12,24.0,0,0,26.0,0,female,Helsinki
0,13,28.0,0,0,19.0,0,male,Helsinki
0,13,-5.514050893143946,8,2,139.1,0,male,Helsinki
0,13,34.0,0,0,12.9916,0,male,Helsinki
0,13,45.5,0,0,14.45,0,male,Tampere
1,13,18.0,0,0,16.1,0,male,Helsinki
0,13,2.0,0,1,20.925,1,female,Helsinki
0,13,32.0,1,0,31.7,0,male,Helsinki
1,13,26.0,0,0,37.575,0,male,Tampere
1,13,16.0,0,0,15.5,0,female,Turku
1,11,40.0,0,0,62.0,1,male,Tampere
0,13,24.0,0,0,14.1,0,male,Helsinki
1,12,35.0,0,0,42.0,0,female,Helsinki
0,13,22.0,0,0,14.5,0,male,Helsinki
0,12,30.0,0,0,26.0,0,male,Helsinki
0,13,27.473931382815195,1,0,15.5,0,male,Turku
1,11,31.0,1,0,226.55,1,female,Tampere
1,13,27.0,0,0,15.85,0,female,Helsinki
0,12,42.0,1,0,54.0,0,male,Helsinki
1,11,32.0,0,0,152.5834,1,female,Tampere
0,12,30.0,0,0,21.0,0,male,Helsinki
1,13,16.0,0,0,16.1,0,male,Helsinki
0,12,27.0,0,0,26.0,0,male,Helsinki
0,13,51.0,0,0,16.1,0,male,Helsinki
0,13,29.514671258164427,0,0,15.7916,0,male,Helsinki
1,11,38.0,1,0,180.0,1,male,Helsinki
0,13,22.0,0,0,18.7,0,male,Helsinki
1,12,19.0,0,0,21.0,0,male,Helsinki
0,13,20.5,0,0,14.5,0,male,Helsinki
0,12,18.0,0,0,26.0,0,male,Helsinki
0,13,16.402760187238727,3,1,50.9334,0,female,Helsinki
1,11,35.0,1,0,166.95,1,female,Helsinki
0,13,29.0,0,0,15.55,0,male,Helsinki
0,12,59.0,0,0,27.0,0,male,Helsinki
1,13,5.0,4,2,62.775,0,female,Helsinki
0,12,24.0,0,0,21.0,0,male,Helsinki
0,13,29.605451659900638,0,0,15.1,0,female,Helsinki
0,12,44.0,1,0,52.0,0,male,Helsinki
1,12,8.0,0,2,52.5,0,female,Helsinki
0,12,19.0,0,0,21.0,0,male,Helsinki
0,12,33.0,0,0,24.55,0,male,Helsinki
0,13,23.817934059936647,1,0,28.9084,0,female,Tampere
1,13,19.3549250923912,1,0,31.0,0,female,Turku
0,12,29.0,0,0,21.0,0,male,Helsinki
0,13,22.0,0,0,14.25,0,male,Helsinki
0,13,30.0,0,0,14.45,0,male,Tampere
0,11,44.0,2,0,180.0,1,male,Turku
0,13,25.0,0,0,15.55,0,female,Helsinki
1,12,24.0,0,2,29.0,0,female,Helsinki
1,11,37.0,1,1,105.1084,1,male,Helsinki
0,12,54.0,1,0,52.0,0,male,Helsinki
0,13,29.52505367331932,0,0,14.5,0,male,Helsinki
0,13,29.0,1,1,20.925,1,female,Helsinki
0,11,62.0,0,0,53.1,1,male,Helsinki
0,13,30.0,1,0,32.2,0,male,Helsinki
0,13,41.0,0,2,40.425,0,female,Helsinki
1,13,29.0,0,2,30.4916,0,female,Tampere
1,11,34.868882213726096,0,0,158.4,0,female,Tampere
1,11,30.0,0,0,173.0,1,female,Helsinki
1,11,35.0,0,0,1024.6584,0,female,Tampere
1,12,50.0,0,1,52.0,0,female,Helsinki
0,13,31.5780427129432,0,0,15.5,0,male,Turku
1,13,3.0,4,2,62.775,0,male,Helsinki
0,11,52.0,1,1,159.3,1,male,Helsinki
0,11,40.0,0,0,0.0,1,male,Helsinki
0,13,31.66326374775379,0,0,15.5,0,female,Turku
0,12,36.0,0,0,21.0,0,male,Helsinki
0,13,16.0,4,1,79.375,0,male,Helsinki
1,13,25.0,1,0,15.55,0,male,Helsinki
1,11,58.0,0,1,306.925,1,female,Helsinki
1,11,35.0,0,0,271.2666,1,female,Helsinki
0,11,45.21060481161854,0,0,62.0,0,male,Helsinki
1,13,25.0,0,0,0.0,0,male,Helsinki
1,12,41.0,0,1,39.0,0,female,Helsinki
0,11,37.0,0,1,59.4,1,male,Tampere
1,13,23.583631835108903,0,0,15.5,0,female,Turku
1,11,63.0,1,0,155.9166,1,female,Helsinki
0,13,45.0,0,0,15.5,0,female,Helsinki
0,12,37.67529856708546,0,0,0.0,0,male,Helsinki
0,13,7.0,4,1,58.25,0,male,Turku
1,13,35.0,1,1,40.5,0,female,Helsinki
0,13,65.0,0,0,15.5,0,male,Turku
0,13,28.0,0,0,15.7084,0,male,Helsinki
0,13,16.0,0,0,19.0,0,male,Helsinki
1,13,19.0,0,0,16.1,0,male,Helsinki
0,11,46.991035341738,0,0,52.0,1,male,Helsinki
0,13,33.0,0,0,17.325,0,male,Tampere
1,13,30.0,0,0,19.0,0,male,Helsinki
0,13,22.0,0,0,15.7916,0,male,Helsinki
1,12,42.0,0,0,26.0,0,male,Helsinki
1,13,22.0,0,0,15.5,0,female,Turku
1,11,26.0,0,0,157.7,0,female,Helsinki
1,11,19.0,1,0,182.1584,1,female,Tampere
0,12,36.0,0,0,25.75,1,male,Tampere
0,13,24.0,0,0,17.7,0,female,Helsinki
0,13,24.0,0,0,15.7916,0,male,Helsinki
0,11,43.69091530624267,0,0,55.4416,0,male,Tampere
0,13,23.5,0,0,14.4584,0,male,Tampere
0,11,2.0,1,2,303.1,1,female,Helsinki
1,11,38.839057705653914,0,0,61.0,1,male,Helsinki
1,11,50.0,0,1,495.0416,1,female,Tampere
1,13,23.583631835108903,0,0,15.5,0,female,Turku
1,13,15.040997314862892,2,0,46.5,0,male,Turku
0,13,19.0,0,0,0.0,0,male,Helsinki
1,12,33.24341271678334,0,0,24.7,1,female,Turku
0,13,29.512192211374582,0,0,16.1,0,male,Helsinki
1,11,0.92,1,2,303.1,1,male,Helsinki
1,11,34.35951526718374,0,0,221.7666,0,female,Tampere
1,11,17.0,1,0,217.8,1,female,Tampere
0,12,30.0,1,0,48.0,0,male,Tampere
1,11,30.0,0,0,113.8584,1,female,Tampere
1,11,24.0,0,0,166.3166,1,female,Tampere
1,11,18.0,2,2,524.75,1,female,Tampere
0,12,26.0,1,1,52.0,0,female,Helsinki
0,13,28.0,0,0,15.7916,0,male,Helsinki
0,12,43.0,1,1,52.5,0,male,Helsinki
1,13,26.0,0,0,15.7084,0,female,Helsinki
1,12,24.0,1,0,52.0,0,female,Helsinki
0,12,54.0,0,0,28.0,0,male,Helsinki
1,11,31.0,0,2,329.7334,1,female,Helsinki
1,11,40.0,1,1,269.0,1,female,Tampere
0,13,22.0,0,0,14.5,0,male,Helsinki
0,13,27.0,0,0,15.7916,0,male,Helsinki
1,12,30.0,0,0,24.7,0,female,Turku
1,12,22.0,1,1,58.0,0,female,Helsinki
0,13,-5.514050893143946,8,2,139.1,0,male,Helsinki
1,11,36.0,0,0,271.2666,1,female,Tampere
0,13,61.0,0,0,12.475,0,male,Helsinki
1,12,36.0,0,0,26.0,1,female,Helsinki
1,13,31.0,1,1,41.05,0,female,Helsinki
1,11,16.0,0,1,115.9584,1,female,Tampere
1,13,15.126218349673493,2,0,46.5,0,female,Turku
0,11,45.5,0,0,57.0,1,male,Helsinki
0,11,38.0,0,1,306.925,1,male,Helsinki
0,13,16.0,2,0,36.0,0,male,Helsinki
1,11,31.461796267871364,1,0,267.3,0,female,Helsinki
0,13,29.514671258164427,0,0,15.7916,0,male,Helsinki
0,11,29.0,1,0,133.2,1,male,Helsinki
1,11,41.0,0,0,269.0,1,female,Tampere
1,13,45.0,0,0,16.1,0,male,Helsinki
0,11,45.0,0,0,71.0,1,male,Helsinki
1,12,2.0,1,1,52.0,1,male,Helsinki
1,11,24.0,3,2,526.0,1,female,Helsinki
0,12,28.0,0,0,26.0,0,male,Helsinki
0,12,25.0,0,0,26.0,0,male,Helsinki
0,12,36.0,0,0,26.0,0,male,Helsinki
1,12,24.0,0,0,26.0,1,female,Helsinki
1,12,40.0,0,0,26.0,0,female,Helsinki
1,13,17.28425154259331,1,0,32.2,0,female,Helsinki
1,13,3.0,1,1,31.8,0,male,Helsinki
0,13,42.0,0,0,17.325,0,male,Helsinki
0,13,23.0,0,0,18.45,0,male,Helsinki
0,11,46.84634389485963,0,0,70.0,1,male,Helsinki
0,13,15.0,1,1,14.4584,0,male,Tampere
0,13,25.0,1,0,35.6,0,male,Helsinki
0,13,27.95304695611773,0,0,14.45,0,male,Tampere
0,13,28.0,0,0,19.0,0,male,Helsinki
1,11,22.0,0,1,110.0,1,female,Helsinki
0,12,38.0,0,0,26.0,0,female,Helsinki
1,13,23.581554709004834,0,0,15.7584,0,female,Turku
1,13,23.581554709004834,0,0,15.7584,0,female,Turku
0,13,40.0,1,4,55.8,0,male,Helsinki
0,12,29.0,1,0,55.4416,0,male,Tampere
0,13,45.0,0,1,28.9084,0,female,Tampere
0,13,35.0,0,0,14.1,0,male,Helsinki
0,13,27.349335970225482,1,0,31.0,0,male,Turku
0,13,30.0,0,0,14.5,0,male,Helsinki
1,11,60.0,1,0,150.5,1,female,Tampere
1,13,19.958568555608238,0,0,14.4584,0,female,Tampere
1,13,23.583631835108903,0,0,15.5,0,female,Turku
1,11,24.0,0,0,138.6,1,female,Tampere
1,11,25.0,1,0,110.8834,1,male,Tampere
0,13,18.0,1,0,12.9916,0,male,Helsinki
0,13,19.0,0,0,16.1,0,male,Helsinki
0,11,22.0,0,0,271.2666,0,male,Tampere
0,13,3.0,3,1,42.15,0,female,Helsinki
1,11,30.71700984466628,1,0,164.3416,0,female,Tampere
1,13,22.0,0,0,14.5,0,female,Helsinki
0,11,27.0,0,2,423.0,1,male,Tampere
0,13,20.0,0,0,8.025,0,male,Tampere
0,13,19.0,0,0,15.55,0,male,Helsinki
1,11,42.0,0,0,455.05,0,female,Tampere
1,13,1.0,0,2,31.4834,0,female,Tampere
0,13,32.0,0,0,15.85,0,male,Helsinki
1,11,35.0,1,0,104.0,0,female,Helsinki
0,13,29.514671258164427,0,0,15.7916,0,male,Helsinki
0,12,18.0,0,0,147.0,0,male,Helsinki
0,13,1.0,5,2,93.8,0,male,Helsinki
1,12,36.0,0,0,26.0,0,female,Helsinki
0,13,31.578377110953753,0,0,15.4584,0,male,Turku
1,12,17.0,0,0,24.0,0,female,Tampere
1,11,36.0,1,2,240.0,1,male,Helsinki
1,13,21.0,0,0,15.5916,0,male,Helsinki
0,13,28.0,2,0,15.85,0,male,Helsinki
1,11,23.0,1,0,226.55,1,female,Tampere
1,13,24.0,0,2,33.4,1,female,Helsinki
0,13,22.0,0,0,15.5916,0,male,Helsinki
0,13,31.0,0,0,15.7084,0,female,Helsinki
0,12,46.0,0,0,52.0,0,male,Helsinki
0,12,23.0,0,0,21.0,0,male,Helsinki
1,12,28.0,0,0,25.3,0,female,Helsinki
1,13,39.0,0,0,15.85,0,male,Helsinki
0,13,26.0,0,0,16.1,0,male,Helsinki
0,13,21.0,1,0,19.65,0,female,Helsinki
0,13,28.0,1,0,31.7,0,male,Helsinki
0,13,20.0,0,0,17.325,0,female,Helsinki
0,12,34.0,1,0,42.0,0,male,Helsinki
0,13,51.0,0,0,15.5,0,male,Helsinki
1,12,3.0,1,1,37.5,0,male,Helsinki
0,13,21.0,0,0,15.55,0,male,Helsinki
0,13,16.402760187238727,3,1,50.9334,0,female,Helsinki
0,13,29.514671258164427,0,0,15.7916,0,male,Helsinki
0,13,31.592378419963353,0,0,13.7166,0,male,Turku
1,11,33.0,1,0,180.0,1,female,Turku
0,12,37.67529856708546,0,0,0.0,0,male,Helsinki
1,13,44.0,0,0,15.85,0,male,Helsinki
0,13,29.597413246185184,0,0,16.1,0,female,Helsinki
1,12,34.0,1,1,65.0,0,female,Helsinki
1,12,18.0,0,2,26.0,0,female,Helsinki
0,12,30.0,0,0,26.0,0,male,Helsinki
0,13,10.0,0,2,48.3,0,female,Helsinki
0,13,27.942262620277063,0,0,15.7916,0,male,Tampere
0,13,21.0,0,0,15.4666,0,male,Turku
0,13,29.0,0,0,15.75,0,male,Helsinki
0,13,28.0,1,1,28.8,0,female,Helsinki
0,13,18.0,1,1,40.425,0,male,Helsinki
0,13,29.52505367331932,0,0,14.5,0,male,Helsinki
1,12,28.0,1,0,52.0,0,female,Helsinki
1,12,19.0,0,0,52.0,0,female,Helsinki
0,13,31.5780427129432,0,0,15.5,0,male,Turku
1,13,32.0,0,0,16.1,1,male,Helsinki
1,11,28.0,0,0,53.1,1,male,Helsinki
1,13,17.28425154259331,1,0,32.2,0,female,Helsinki
1,12,42.0,1,0,52.0,0,female,Helsinki
0,13,17.0,0,0,14.25,0,male,Helsinki
0,11,50.0,1,0,111.8,1,male,Helsinki
1,11,14.0,1,2,240.0,1,female,Helsinki
0,13,21.0,2,2,68.75,0,female,Helsinki
1,12,24.0,2,3,37.5,0,female,Helsinki
0,11,64.0,1,4,526.0,1,male,Helsinki
0,12,31.0,0,0,21.0,0,male,Helsinki
1,12,45.0,1,1,52.5,0,female,Helsinki
0,13,20.0,0,0,19.0,0,male,Helsinki
0,13,25.0,1,0,15.55,0,male,Helsinki
1,12,28.0,0,0,26.0,0,female,Helsinki
